,n_index,previous_index_num,movie_title_txt_num,imdb_id,n_of_posters,total_box_office,with_adjusted_box_office,total_label,year,movie_title,year_box_office_label,Rnum_year_box_office_label,groups_num,train_or_test,budget,sort_poster_label
24,8940,4794,4960,tt0090927,18,18134,35432,0,1997,Delta The,1,R1,13,train,0,0
25,8939,4732,4895,tt0116592,1,20325,39719,0,1997,I Love You I Love You Not,1,R1,12,train,0,0
26,8938,4715,4875,tt0120392,2,20868,40778,0,1997,Twilight of the Golds,1,R1,11,train,0,0
27,8937,4689,4848,tt0118127,2,22002,42993,0,1997,Wedding Bell Blues,1,R1,10,train,0,0
28,8936,4646,4805,tt0117351,3,23862,46626,0,1997,Le Plus Beau Metier du Monde,1,R1,9,train,0,0
29,8935,4622,4778,tt0120018,2,25696,50214,0,1997,Rien ne va plus,1,R1,8,train,0,0
30,8934,4603,4756,tt0118828,1,26641,52062,0,1997,Catherines Grove,1,R1,7,train,0,0
31,8933,4514,4659,tt0117773,2,31638,61821,0,1997,Substance of Fire The,1,R1,6,train,0,0
32,8932,4493,4635,tt0119429,3,33148,64772,0,1997,Julian Po,1,R1,5,train,0,0
33,8931,4432,4572,tt0119819,3,37446,73177,0,1997,Office Killer,1,R1,4,train,0,0
34,8930,4397,4535,tt0116480,2,40000,78165,0,1997,Hamsun,1,R1,3,train,0,0
35,8929,4680,4839,tt0112454,1,44544,87045,0,1997,Bandwagon,1,R1,2,train,0,0
36,8928,4746,4909,tt0117898,8,51618,100868,0,1997,This World Then the Fireworks,1,R1,1,train,0,0
37,8927,4210,4337,tt0119534,2,55986,107075,0,1997,Alarmist The,1,R1,0,train,0,0
38,7951,4120,4236,tt0118783,2,66961,130854,0,1997,Brothers Kiss A,2,R2,18,test,0,0
39,7950,4093,4209,tt0118020,1,69977,136748,0,1997,Self Made Hero A,2,R2,17,test,0,0
40,7949,4079,4195,tt0119623,3,71384,139501,0,1997,Marquise,2,R2,16,test,0,0
41,7948,4063,4179,tt0118172,5,72844,142354,0,1997,Wind in the Willows The,2,R2,15,test,0,0
42,7947,4055,4170,tt0120394,2,74188,144973,0,1997,Twin Town,2,R2,14,train,0,0
43,7946,4199,4325,tt0116762,3,74777,129408,0,1997,Keys to Tulsa,2,R2,13,train,0,0
44,7945,3969,4075,tt0119209,3,86175,168403,0,1997,Going All the Way,2,R2,12,train,0,0
45,7944,3955,4060,tt0120748,3,88675,173291,0,1997,Matusalem II,2,R2,11,train,0,0
46,7943,4045,4160,tt1572502,6,91285,178386,0,1997,Late Bloomers,2,R2,10,train,0,0
47,7942,3877,3978,tt0119457,2,102739,200776,0,1997,Kicked in the Head,2,R2,9,train,0,0
48,7941,3829,3927,tt0120034,9,111851,218581,0,1997,For Roseanna,2,R2,8,train,0,0
49,7940,3728,3820,tt0120123,1,133048,260004,0,1997,Shooting Porn,2,R2,7,train,0,0
50,7939,3692,3783,tt0119256,14,142356,278196,0,1997,Hard Eight,2,R2,6,train,0,0
51,7938,3786,3879,tt0110405,1,147651,288538,0,1997,Paperback Romance,2,R2,5,train,0,1
52,7937,3644,3734,tt0116565,2,152720,298450,0,1997,Hotel de Love,2,R2,4,train,0,1
53,7936,3612,3700,tt0122436,1,160944,314524,0,1997,Conciergerie La,2,R2,3,train,0,1
54,7935,3605,3693,tt0119052,5,161831,309510,0,1997,Education of Little Tree The,2,R2,2,train,0,1
55,7934,3583,3668,tt0114303,9,171979,336088,0,1997,Rough Magic,2,R2,1,train,0,1
56,7933,3567,3652,tt0119809,7,176979,345856,0,1997,Nowhere,2,R2,0,train,0,1
57,6957,3566,3651,tt0116714,3,177605,347076,0,1997,Johns,3,R3,18,test,0,1
58,6956,3911,4013,tt0124777,3,189022,365545,0,1997,Latin Boys Go to Hell,3,R3,17,test,0,1
59,6955,3524,3608,tt0116650,3,191164,373574,0,1997,Irma Vep,3,R3,16,test,0,1
60,6954,3510,3593,tt0119533,1,197338,385647,0,1997,Life Apart A,3,R3,15,test,0,1
61,6953,6024,6321,tt0118540,3,218444,426891,0,1997,4 Little Girls,3,R3,14,train,0,1
62,6952,3433,3510,tt0127497,1,223426,436624,0,1997,Dancehall Queen,3,R3,13,train,0,1
63,6951,3423,3499,tt0117106,1,226427,442490,0,1997,Disappearance of Garcia Lorca The,3,R3,12,train,0,1
64,6950,3394,3470,tt0120254,10,235766,460744,0,1997,Swan Princess The Escape from Castle Mountain,3,R3,11,train,0,1
65,6949,3379,3455,tt0118845,9,240442,467669,0,1997,Happy Together,3,R3,10,train,0,1
66,6948,3371,3447,tt0120539,5,243094,475060,0,1997,Year of the Horse,3,R3,9,train,0,1
67,6947,3368,3444,tt0113314,1,244337,477491,0,1997,Hollow Reed,3,R3,8,train,0,1
68,6946,3288,3358,tt0118586,4,281175,549484,0,1997,All Over Me,3,R3,7,train,0,1
69,6945,3287,3357,tt0116102,1,281764,550632,0,1997,Different for Girls,3,R3,6,train,0,1
70,6944,3271,3341,tt0120303,7,291000,568680,0,1997,Telling Lies in America,3,R3,5,train,0,1
71,6943,3248,3317,tt0118044,4,301888,589957,0,1997,Unhook the Stars,3,R3,4,train,0,1
72,6942,3207,3275,tt0118015,3,316872,606040,0,1997,Un Air de Famille,3,R3,3,train,0,1
73,6941,3218,3286,tt0120265,12,322827,607432,0,1997,Ta m e guilass ,3,R3,2,train,0,1
74,6940,3163,3231,tt0113223,2,340556,665529,0,1997,Grizzly Mountain,3,R3,1,train,0,1
75,6939,3962,4067,tt0119237,5,365375,448779,0,1997,Gummo,3,R3,0,train,0,1
76,5963,3092,3159,tt0119062,10,386673,755651,0,1997,End of Violence The,4,R4,18,test,0,1
77,5962,3118,3186,tt2237324,3,405409,790885,0,1997,Bent,4,R4,17,test,0,1
78,5961,3068,3133,tt0120357,4,408097,797523,0,1997,Touch,4,R4,16,test,0,1
79,5960,3165,3233,tt0120490,6,429756,828397,0,1997,Welcome to Sarajevo,4,R4,15,test,0,1
80,5959,2997,3059,tt0116783,5,465417,909540,0,1997,Kissed,4,R4,14,train,0,1
81,5958,2979,3041,tt0120087,4,479099,936271,0,1997,Second Jungle Book The,4,R4,13,train,0,1
82,5957,2978,3040,tt0118762,1,479504,937069,0,1997,Boys Life 2,4,R4,12,train,0,1
83,5956,2961,3020,tt0120366,5,500649,978385,0,1997,Traveller,4,R4,11,train,0,1
84,5955,2964,3024,tt0116308,5,501533,975990,0,1997,Fire,4,R4,10,train,0,1
85,5954,2955,3014,tt0119746,3,505828,988512,0,1997,Myth of Fingerprints The,4,R4,9,train,0,1
86,5953,2950,3009,tt0119392,1,510977,998567,0,1997,Jen Suis,4,R4,8,train,0,1
87,5952,2943,3002,tt0113774,4,524963,1025908,0,1997,Margarets Museum,4,R4,7,train,0,1
88,5951,2889,2945,tt0120197,1,592573,1158027,0,1997,Star Maps,4,R4,6,train,0,1
89,5950,2903,2960,tt0116930,3,604523,1181385,0,1997,Love Serenade,4,R4,5,train,0,1
90,5949,2874,2930,tt0119324,3,617403,1206555,0,1997,House of Yes The,4,R4,4,train,0,1
91,5948,2819,2873,tt0117050,2,686121,1340845,0,1997,Shekvarebuli kulinaris ataserti retsepti,4,R4,3,train,0,1
92,5947,2811,2865,tt0119527,6,699062,1337005,0,1997,Deceiver,4,R4,2,train,0,1
93,5946,2794,2848,tt0115738,2,720717,1408451,0,1997,Box of Moon Light,4,R4,1,train,0,1
94,5945,2792,2846,tt0120238,5,726207,1419189,0,1997,SubUrbia,4,R4,0,train,0,1
95,4969,2761,2813,tt0119467,2,771091,1506897,0,1997,Kiss or Kill,5,R5,18,test,0,1
96,4968,2754,2806,tt0093744,5,779200,1510198,0,1997,Pippi Longstocking,5,R5,17,test,0,1
97,4967,2749,2801,tt0116754,3,790078,1544006,0,1997,Prisoner of the Mountains,5,R5,16,test,0,1
98,4966,2747,2799,tt0128376,1,793112,1549935,0,1997,Nueba Yol 3,5,R5,15,test,0,1
99,4965,4504,4648,tt0116502,14,806649,837379,0,1997,Head Above Water,5,R5,14,train,0,1
100,4964,2721,2773,tt0115886,6,845391,1652104,0,1997,Children of the Revolution,5,R5,13,train,0,2
101,4963,2719,2771,tt0119107,2,848801,1655082,0,1997,Fast Cheap and Out of Control,5,R5,12,train,0,2
102,4962,2714,2766,tt0109949,3,855579,1667667,0,1997,Guantanamera,5,R5,11,train,0,2
103,4961,2708,2760,tt0120521,2,870290,1672053,0,1997,Winter Guest The,5,R5,10,train,0,2
104,4960,2695,2747,tt0116293,9,883973,1727496,0,1997,Female Perversions,5,R5,9,train,0,2
105,4959,2670,2721,tt0125128,2,925756,1786672,0,1997,Hanging Garden The,5,R5,8,train,0,2
106,4958,2648,2698,tt0120118,3,1002175,1958492,0,1997,Shiloh,5,R5,7,train,0,2
107,4957,2589,2636,tt0116295,4,1084532,2119441,0,1997,Temptress Moon,5,R5,6,train,0,2
108,4956,2502,2545,tt0117359,2,1351319,2640813,0,1997,Ponette,5,R5,5,train,0,2
109,4955,2466,2508,tt0118859,4,1554338,3037556,0,1997,City of Industry,5,R5,4,train,0,2
110,4954,2459,2501,tt0120014,3,1591687,3110545,0,1997,Rhyme and Reason,5,R5,3,train,0,2
111,4953,2410,2451,tt0120481,4,1775644,3466214,0,1997,Washington Square,5,R5,2,train,0,2
112,4952,2386,2426,tt0119465,2,1916898,3746087,0,1997,Kiss Me Guido,5,R5,1,train,0,2
113,4951,2376,2416,tt0119859,5,1990257,3889455,0,1997,Paradise Road,5,R5,0,train,0,2
114,3975,2342,2382,tt0116041,3,2096256,4096599,0,1997,Daytrippers The,6,R6,18,test,0,2
115,3974,2309,2349,tt0119590,6,2280573,4371969,0,1997,Ma Vie en Rose,6,R6,17,test,0,2
116,3973,2305,2345,tt0126036,1,2287639,4470612,0,1997,Snowriders 2,6,R6,16,test,0,2
117,3972,2296,2334,tt0114134,5,2372744,4636925,0,1997,Pillow Book The,6,R6,15,test,0,2
118,3971,2281,2318,tt0118818,3,2506039,4897414,0,1997,Career Girls,6,R6,14,train,0,2
119,3970,5993,6289,tt0118566,5,2537428,4859094,0,1997,Afterglow,6,R6,13,train,0,2
120,3969,2273,2310,tt0115744,14,2589188,5059914,0,1997,Brassed Off,6,R6,12,train,0,2
121,3968,2267,2304,tt0119832,7,2642718,5164522,0,1997,One Night Stand,6,R6,11,train,0,2
122,3967,2243,2280,tt0119620,2,2835851,5054900,0,1997,Marius et Jeannette,6,R6,10,train,0,2
123,3966,2230,2267,tt0119578,3,2936611,5738862,0,1997,Love Valour Compassion,6,R6,9,train,0,2
124,3965,2179,2216,tt0120151,1,3317930,6484054,0,1997,Smile Like Yours A,6,R6,8,train,0,2
125,3964,2172,2209,tt7594568,1,3398083,6640697,0,1997,Matchmaker The,6,R6,7,train,0,2
126,3963,2161,2198,tt0119152,11,3519178,6877344,0,1997,Free Willy 3 The Rescue,6,R6,6,train,0,2
127,3962,2160,2197,tt0118523,7,3525125,6888969,0,1997,Til There Was You,6,R6,5,train,0,2
128,3961,2157,2194,tt0119887,6,3533790,6905895,0,1997,Pest The,6,R6,4,train,0,2
129,3960,2129,2166,tt0116922,32,3816306,7439295,0,1997,Lost Highway,6,R6,3,train,0,2
130,3959,2103,2140,tt0119644,2,4073582,7960785,0,1997,Meet Wally Sparks,6,R6,2,train,0,2
131,3958,2628,2678,tt0120275,4,4194038,5141754,0,1997,Tango Lesson The,6,R6,1,train,0,2
132,3957,2094,2131,tt0119906,12,4428527,8404799,0,1997,Playing God,6,R6,0,train,0,2
133,2981,2044,2081,tt0118764,1,4602341,8879493,0,1997,Les Boys,7,R7,18,test,0,2
134,2980,2004,2041,tt0118927,2,5102151,9970864,0,1997,Dangerous Ground,7,R7,17,test,0,2
135,2979,1974,2011,tt0119225,6,5573929,10892836,0,1997,Gridlockd,7,R7,16,test,0,2
136,2978,1962,1999,tt0118531,17,5747802,11232629,0,1997,One Eight Seven,7,R7,15,test,0,2
137,2977,1958,1995,tt0116790,8,5770254,11276501,0,1997,Kolya,7,R7,14,train,0,3
138,2976,1949,1986,tt0118760,12,5896037,11286063,0,1997,Boxer The,7,R7,13,train,0,3
139,2975,1948,1985,tt0118900,10,5906773,11543296,0,1997,Gang Related,7,R7,12,train,0,3
140,2974,1947,1984,tt0119381,11,5926128,11581122,0,1997,Inventing the Abbotts,7,R7,11,train,0,3
141,2973,1935,1971,tt0119484,9,6086891,11895296,0,1997,Kull The Conqueror,7,R7,10,train,0,3
142,2972,1894,1930,tt0120399,35,6690074,13072187,0,1997,U Turn,7,R7,9,train,0,3
143,2971,1856,1889,tt0118663,3,7246735,14161917,0,1997,BAPS,7,R7,8,train,0,3
144,2970,1853,1886,tt0120112,6,7281450,14229757,0,1997,Shes So Lovely,7,R7,7,train,0,3
145,2969,1849,1882,tt0120512,4,7365417,14393854,0,1997,Wild America,7,R7,6,train,0,3
146,2968,1838,1871,tt0120190,1,7553105,14760637,0,1997,Sprung,7,R7,5,train,0,3
147,2967,1794,1826,tt0120389,6,8363899,16345134,0,1997,Turbo A Power Rangers Movie,7,R7,4,train,0,3
148,2966,1758,1790,tt0119280,8,9217930,17982186,0,1997,Mrs Brown,7,R7,3,train,0,3
149,2965,1756,1788,tt0119115,16,9254184,18084973,0,1997,Fierce Creatures,7,R7,2,train,0,3
150,2964,1820,1852,tt0120323,6,9497079,17062745,0,1997,Thousand Acres A,7,R7,1,train,0,3
151,2963,1736,1766,tt0119783,11,9889670,19326870,0,1997,Night Falls On Manhattan,7,R7,0,train,0,3
152,1987,1695,1722,tt0099558,17,10461161,20443706,0,1997,Operation Condor,8,R8,18,test,0,3
153,1986,1658,1682,tt0119509,2,11307615,22097882,0,1997,Leave It To Beaver,8,R8,17,test,0,3
154,1985,1657,1681,tt0119013,29,11328565,22138821,0,1997,Double Team,8,R8,16,test,0,3
155,1984,1651,1675,tt0118691,10,11486880,22448214,0,1997,Beautician and the Beast The,8,R8,15,test,0,4
156,1983,1570,1593,tt0120036,2,13104494,25609431,0,1997,Rosewood,8,R8,14,train,0,4
157,1982,1543,1566,tt0120373,4,13602831,26583304,0,1997,Trial And Error,8,R8,13,train,0,4
158,1981,1536,1559,tt0120520,6,13718385,26599943,0,1997,Wings of the Dove The,8,R8,12,train,0,4
159,1980,1519,1542,tt0119095,5,14059077,27473065,0,1997,Fairytale A True Story,8,R8,11,train,0,4
160,1979,1505,1528,tt0119086,6,14351432,28046257,0,1997,Excess Baggage,8,R8,10,train,0,4
161,1978,1493,1515,tt0116704,15,14601662,28535265,0,1997,Jackie Chans First Strike,8,R8,9,train,0,4
162,1977,2080,2117,tt0119535,15,14633270,18724696,0,1997,Life Less Ordinary A,8,R8,8,train,0,4
163,1976,1488,1510,tt2394045,1,14765099,28854669,0,1997,Sixth Man The,8,R8,7,train,0,4
164,1975,1463,1485,tt0120029,13,15448043,30189306,0,1997,Rocket Man,8,R8,6,train,0,4
165,1974,1432,1453,tt0119123,15,16148906,31558972,0,1997,Fire Down Below,8,R8,5,train,0,4
166,1973,1423,1444,tt0120318,8,17239218,32897035,0,1997,That Old Feeling,8,R8,4,train,0,4
167,1972,1353,1372,tt0059793,8,18301828,35766314,0,1997,That Darn Cat ,8,R8,3,train,0,4
168,1971,1306,1323,tt0119214,12,19745922,38588429,0,1997,Gone Fishin,8,R8,2,train,0,4
169,1970,1296,1313,tt0118750,5,20066917,39215737,1,1997,Booty Call,8,R8,1,train,0,4
170,1969,1244,1260,tt0119994,10,22442815,43852473,1,1997,Red Corner,8,R8,0,train,0,4
171,993,1208,1224,tt0119311,5,23489997,45905285,1,1997,Hoodlum,9,R9,18,test,0,4
172,992,1203,1219,tt0119215,8,23712993,46341074,1,1997,Good Burger,9,R9,17,test,0,4
173,991,1164,1179,tt0119675,21,25514166,49861010,1,1997,Mimic,9,R9,16,test,0,4
174,990,1152,1167,tt0119731,17,25842024,50501728,1,1997,Murder at 1600,9,R9,15,test,0,4
175,989,1135,1149,tt0118604,12,26570463,51655880,1,1997,American Werewolf in Paris An,9,R9,14,train,0,4
176,988,1268,1285,tt0119718,8,28937192,49153343,1,1997,Mr Magoo,9,R9,13,train,0,4
177,987,1084,1097,tt0119848,8,28985323,56644518,1,1997,Out to Sea,9,R9,12,train,0,5
178,986,1081,1094,tt0120032,13,29235353,57133132,1,1997,Romy and Micheles High School Reunion,9,R9,11,train,0,5
179,985,1080,1093,tt0119141,18,29299524,57258542,1,1997,Fools Rush In,9,R9,10,train,0,5
180,984,1337,1356,tt0120327,1,31279211,46861633,1,1997,Thrill Ride The Science of Fun,9,R9,9,train,0,5
181,983,1037,1048,tt0119896,16,31301775,61171435,1,1997,Picture Perfect,9,R9,8,train,0,5
182,982,1023,1034,tt0119142,14,31680796,61613898,1,1997,For Richer or Poorer,9,R9,7,train,0,5
183,981,1012,1023,tt0119664,15,32017895,62570917,1,1997,Metro,9,R9,6,train,0,5
184,980,1108,1122,tt0119051,27,34099255,60626644,1,1997,Edge The,9,R9,5,train,0,5
185,979,5950,6242,tt0118556,12,34673095,67759837,1,1997,Addicted To Love,9,R9,4,train,0,5
186,978,910,921,tt0120434,17,36470465,71272346,1,1997,Vegas Vacation,9,R9,3,train,0,5
187,977,1040,1051,tt0118708,19,37639029,67454843,1,1997,Beverly Hills Ninja,9,R9,2,train,0,5
188,976,808,817,tt0119951,6,41198146,80511401,2,1997,Private Parts,9,R9,1,train,0,5
189,975,565,571,tt0119432,11,59925026,117108382,2,1997,Jungle 2 Jungle,9,R9,0,train,0,5
